STRUCTURE_NUMBER_008,YEAR_BUILT_027,Material Used,DeckRating_of_Year_2007,DeckRating_of_Year_2008,DeckRating_of_Year_2009,DeckRating_of_Year_2010,DeckRating_of_Year_2011,DeckRating_of_Year_2012,DeckRating_of_Year_2013,DeckRating_of_Year_2014,DeckRating_of_Year_2015,DeckRating_of_Year_2016,DeckRating_of_Year_2017,DeckRating_of_Year_2018,DeckRating_of_Year_2019,DeckRating_of_Year_2020,DeckRating_of_Year_2021
535,1981,Prestressed Concrete,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
536,2011,Prestressed Concrete,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9
537,2016,Prestressed Concrete,3,3,3,3,3,3,3,3,3,3,9,9,9,9,8
538,1977,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
539,1975,Steel Continuous,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7
541,1958,Steel Continuous,6,6,6,6,6,6,6,6,6,7,7,7,7,6,6
542,1999,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6
543,2001,Prestressed Concrete,8,8,8,8,8,8,8,8,8,7,7,7,7,6,6
544,1961,Steel,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4
545,2016,Prestressed Concrete,6,5,5,4,4,4,4,4,4,4,9,9,9,7,7
546,1957,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5
547,2008,Prestressed Concrete,4,4,9,9,9,9,9,8,8,7,7,7,7,7,7
549,1952,Steel,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6
551,1977,Prestressed Concrete,6,5,5,5,5,5,5,7,7,7,7,7,7,6,6
552,2013,Prestressed Concrete,5,5,5,5,5,5,5,9,9,8,8,8,8,7,7
557,1974,Steel Continuous,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7
558,1985,Prestressed Concrete,8,8,8,8,8,8,8,8,8,7,7,6,6,7,7
564,1984,Prestressed Concrete,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7
565,1981,Steel,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7
570,1973,Steel,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
573,1973,Steel Continuous,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6
574,1974,Steel Continuous,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4
575,1987,Prestressed Concrete,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7
578,1954,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
579,2014,Prestressed Concrete,5,5,5,4,4,4,4,4,9,9,9,9,9,9,9
580,1954,Steel,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6
581,1958,Steel Continuous,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4
582,1958,Steel,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5
583,1958,Steel Continuous,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4
584,1954,Steel,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6
585,1954,Steel,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7
586,1954,Steel,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6
587,1954,Steel,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
588,1954,Steel,8,8,8,8,8,8,8,7,7,7,7,6,6,6,6
589,1990,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
